bit_size,use_features,use_chirality,radius,activities,metric,metric_op,metric_val,min_cmpds,k,boosters,inferred,corrcoef,test1_labels,test2_labels
2048,true,true,2,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,426,33,0.3151552103672726,0.27475029813066476,0.3513508224131545
2048,false,false,1,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,425,32,0.35925252347478037,0.31408010351656823,0.40668961618167043
2048,false,false,7,"KD, KI",r2,min,-1.0,10,1,368,40,0.28158224652753144,0.24164809727097392,0.32303024322659907
2048,false,false,2,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,417,36,0.3560565424590157,0.32442061915412995,0.38034792241430354
2048,false,false,3,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,424,33,0.3321383790760155,0.3007686559164388,0.36770944226219077
2048,false,false,1,"KD, KI, EC50",r2,min,-1.0,10,1,370,45,0.3426322877681108,0.326782505151909,0.3578036964395387
2048,false,false,9,"KD, KI",r2,min,-0.5,10,1,350,51,0.33416384391155923,0.2881968795776351,0.38122001781621306
2048,true,true,3,"KD, KI",r2,min,-0.5,10,1,346,55,0.31040148844467663,0.3228152757343725,0.293795640180579
2048,false,false,5,"KD, KI",r2,min,-0.5,10,1,352,53,0.32590483908798756,0.2938204005587738,0.35852122357283067
2048,true,true,2,"KD, KI",r2,min,-0.5,10,1,356,50,0.35116781114236445,0.39870694187857336,0.27633884642191187
2048,false,false,11,"KD, KI",r2,min,-0.5,10,1,342,64,0.33349710359022083,0.33371631199189933,0.32553108614412735
2048,false,false,3,"KD, KI, EC50",r2,min,-0.5,10,1,351,64,0.32354230698306224,0.30866127768786744,0.3324446710168166
2048,false,false,2,"KD, KI, EC50",r2,min,-0.5,10,1,351,59,0.31413809561535877,0.30395917056164345,0.31975661511998843
2048,false,false,11,"KD, KI, EC50",r2,min,-0.5,10,1,353,51,0.2792233720171203,0.2323359187549915,0.3294853071546902
2048,false,false,3,"KD, KI",r2,min,-0.5,10,1,338,63,0.31659171095936106,0.2883004286808236,0.3464589089712274
2048,true,true,1,"KD, KI",r2,min,-0.5,10,1,342,60,0.31355528543085454,0.31046859265103866,0.3191783332290126
2048,false,false,5,"KD, KI, EC50",r2,min,-0.5,10,1,345,62,0.32156438228948114,0.280629826291293,0.3668116034034631
2048,true,true,3,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,409,40,0.2915523424687362,0.23117510519468074,0.35621266549116126
2048,false,false,7,"KD, KI, EC50",r2,min,-0.5,10,1,357,54,0.2619757930132207,0.22413045283086022,0.3057655909627054
2048,false,false,1,"KD, KI",r2,min,-0.5,10,1,336,61,0.3449180973692138,0.3564649300109541,0.3320935646649701
2048,false,false,11,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,409,42,0.33672578853463214,0.3261044975212514,0.34663347414323376
2048,false,false,9,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,405,42,0.29376331685944196,0.26329848892636665,0.32939595928269855
2048,false,false,5,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,411,42,0.34578395083546776,0.3177916982933472,0.37143948268509475
2048,true,true,1,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,401,46,0.31296786289859085,0.2895642581149366,0.33360616932437287
2048,false,false,7,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,405,42,0.311858086884756,0.2794087860208562,0.3428510670529108
2048,false,false,9,"KD, KI, EC50",r2,min,-0.5,10,1,348,57,0.31215605055813417,0.2953760887577746,0.3328426343548534
2048,false,false,2,"KD, KI",r2,min,-0.5,10,1,347,55,0.3678763619383818,0.3592198720071856,0.3766855864400941
2048,true,true,2,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,412,40,0.3051400996408254,0.26186969078540423,0.347665518232681
2048,false,false,1,"KD, KI, EC50, IC50",r2,min,-0.5,10,1,401,47,0.3666977796066919,0.3236378013081577,0.41410609907907325
2048,false,false,7,"KD, KI",r2,min,-0.5,10,1,351,50,0.27313253586982084,0.22752652822502234,0.32069893312050357
2048,false,false,7,"KD, KI, EC50",r2,min,-0.25,10,1,331,72,0.2639286588393153,0.2314475572033884,0.30235042140823876
2048,false,false,1,"KD, KI",r2,min,-0.25,10,1,310,77,0.3357495137810288,0.3399606966106569,0.3329498692836703
2048,false,false,11,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,387,55,0.3228573215293983,0.3144140540814299,0.3297396662341618
2048,false,false,9,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,386,56,0.2925304200937364,0.26703011984945163,0.3235302412541208
2048,false,false,5,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,396,51,0.3589431684524272,0.34618702373157834,0.36714251147211
2048,true,true,1,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,380,63,0.3088797821499923,0.29499131573212467,0.31611630453147327
2048,false,false,7,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,381,60,0.3111037210475383,0.27979945444208104,0.33964611529224104
2048,false,false,9,"KD, KI, EC50",r2,min,-0.25,10,1,326,71,0.3005134094528916,0.2924507797758525,0.30425613530122503
2048,false,false,2,"KD, KI",r2,min,-0.25,10,1,318,76,0.3419993039718482,0.33186535110218135,0.3544078580850078
2048,true,true,2,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,391,53,0.2943877703748042,0.24628434116098066,0.3413992494254538
2048,false,false,1,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,381,63,0.35655935978563386,0.31092933060594213,0.40646855824373657
2048,false,false,7,"KD, KI",r2,min,-0.25,10,1,324,67,0.27981237635264244,0.24945301869278996,0.31064867833001925
2048,false,false,2,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,383,58,0.34114672067983004,0.30256528796412635,0.3730379159467077
2048,false,false,3,"KD, KI, EC50, IC50",r2,min,-0.25,10,1,386,58,0.3100478387459303,0.2678139890538116,0.3578901405443178
2048,false,false,1,"KD, KI, EC50",r2,min,-0.25,10,1,325,74,0.3290758872015125,0.3083915608263862,0.3489488987072745
2048,false,false,2,"KD, KI, EC50",r2,min,-1.0,10,1,375,42,0.310102751524995,0.2819026318273492,0.3359190465214106
2048,false,false,11,"KD, KI, EC50",r2,min,-1.0,10,1,376,39,0.29234922467720376,0.24628511506151515,0.34364254754373597
2048,false,false,3,"KD, KI",r2,min,-1.0,10,1,367,43,0.3390078599479554,0.3064540021030365,0.37458564796242444
2048,true,true,1,"KD, KI",r2,min,-1.0,10,1,366,46,0.31849268154146854,0.3165600894620222,0.32251601832149096
2048,false,false,5,"KD, KI, EC50",r2,min,-1.0,10,1,368,47,0.31741580019219473,0.26435490299584224,0.37619879525625183
2048,true,true,3,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,425,31,0.30620283555475025,0.25421349984418723,0.359209173440223
2048,false,false,7,"KD, KI, EC50",r2,min,-1.0,10,1,376,40,0.27155493091863464,0.21813585796098642,0.3333688139597051
2048,false,false,1,"KD, KI",r2,min,-1.0,10,1,368,40,0.3247530942683573,0.3323241135254334,0.31792231681802674
2048,false,false,11,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,433,28,0.3392488734781195,0.3252827924173531,0.35345569759587214
2048,false,false,9,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,425,31,0.29681538948269914,0.25864262940986726,0.3414347692273623
2048,false,false,5,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,424,33,0.35288313270747407,0.32770544869599133,0.37389650447340067
2048,true,true,1,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,425,34,0.3224854775887204,0.3085075966217822,0.3341962266336746
2048,false,false,7,"KD, KI, EC50, IC50",r2,min,-1.0,10,1,428,28,0.33041668638607413,0.29601848377278756,0.36100580283260253
2048,false,false,9,"KD, KI, EC50",r2,min,-1.0,10,1,377,36,0.3171857515060942,0.27577246512788645,0.3646636125158375
2048,false,false,2,"KD, KI",r2,min,-1.0,10,1,375,35,0.3549091895982135,0.3381176226679707,0.37294641719866084
2048,false,false,7,"KD, KI, EC50, IC50",r2,min,-2.0,10,1,437,22,0.3293355125321898,0.2983167878344104,0.35661083650959463
2048,false,false,9,"KD, KI, EC50",r2,min,-2.0,10,1,392,27,0.3151109920471675,0.2771282405849765,0.35767097960998034
2048,false,false,2,"KD, KI",r2,min,-2.0,10,1,394,23,0.3339795278499084,0.30907807097984535,0.36037741690244496
2048,true,true,2,"KD, KI, EC50, IC50",r2,min,-2.0,10,1,439,24,0.3111952883267965,0.2711214962531963,0.34709023818145796
2048,false,false,1,"KD, KI, EC50, IC50",r2,min,-2.0,10,1,430,29,0.3577810219597578,0.30956634206502337,0.4078606507174122
